order_id,experiment,variant,enrolled_at
ORD-000004,exp1_login_modal,control,2024-03-29T10:23:35
ORD-000006,exp1_login_modal,control,2024-05-31T03:42:07
ORD-000014,exp1_login_modal,variant_b,2024-05-18T13:21:36
ORD-000016,exp1_login_modal,variant_b,2024-03-21T13:25:28
ORD-000022,exp1_login_modal,control,2024-04-04T19:18:51
ORD-000023,exp1_login_modal,control,2024-05-20T14:55:47
ORD-000026,exp1_login_modal,control,2024-03-14T14:45:07
ORD-000028,exp1_login_modal,variant_b,2024-04-01T07:47:19
ORD-000030,exp1_login_modal,control,2024-02-18T00:25:25
ORD-000031,exp1_login_modal,control,2024-02-12T07:47:18
ORD-000033,exp1_login_modal,variant_b,2024-04-22T08:51:58
ORD-000034,exp1_login_modal,variant_b,2024-05-18T20:12:36
ORD-000036,exp1_login_modal,variant_b,2024-05-31T23:20:42
ORD-000039,exp1_login_modal,variant_b,2024-05-17T08:17:49
ORD-000049,exp1_login_modal,control,2024-01-19T01:39:36
ORD-000051,exp1_login_modal,control,2024-03-05T05:35:57
ORD-000052,exp1_login_modal,variant_b,2024-03-02T06:33:36
ORD-000054,exp1_login_modal,control,2024-04-25T21:14:47
ORD-000058,exp1_login_modal,variant_b,2024-04-02T22:58:11
ORD-000059,exp1_login_modal,variant_b,2024-03-18T19:25:55
ORD-000060,exp1_login_modal,control,2024-02-28T23:58:34
ORD-000063,exp1_login_modal,variant_b,2024-03-24T06:29:30
ORD-000065,exp1_login_modal,control,2024-04-17T04:28:13
ORD-000069,exp1_login_modal,variant_b,2024-04-15T17:50:40
ORD-000071,exp1_login_modal,control,2024-06-27T21:04:06
ORD-000074,exp1_login_modal,variant_b,2024-02-18T14:47:56
ORD-000078,exp1_login_modal,control,2024-01-18T17:13:13
ORD-000079,exp1_login_modal,control,2024-03-05T00:59:47
ORD-000080,exp1_login_modal,variant_b,2024-01-08T03:01:15
ORD-000082,exp1_login_modal,control,2024-03-30T16:57:56
ORD-000083,exp1_login_modal,control,2024-05-27T13:48:45
ORD-000089,exp1_login_modal,control,2024-04-01T16:42:13
ORD-000094,exp1_login_modal,control,2024-06-17T00:24:23
ORD-000095,exp1_login_modal,variant_b,2024-03-14T05:55:34
ORD-000103,exp1_login_modal,variant_b,2024-05-14T12:14:14
ORD-000108,exp1_login_modal,control,2024-03-27T03:41:30
ORD-000109,exp1_login_modal,control,2024-03-13T18:53:09
ORD-000110,exp1_login_modal,control,2024-02-03T00:10:52
ORD-000112,exp1_login_modal,control,2024-03-30T05:45:13
ORD-000116,exp1_login_modal,variant_b,2024-02-16T01:27:31
ORD-000122,exp1_login_modal,control,2024-05-01T23:50:54
ORD-000125,exp1_login_modal,variant_b,2024-04-13T01:57:04
ORD-000129,exp1_login_modal,variant_b,2024-01-03T16:51:56
ORD-000134,exp1_login_modal,control,2024-01-28T03:24:29
ORD-000138,exp1_login_modal,variant_b,2024-05-07T04:09:26
ORD-000139,exp1_login_modal,variant_b,2024-05-14T00:56:27
ORD-000143,exp1_login_modal,control,2024-01-05T03:31:58
ORD-000150,exp1_login_modal,control,2024-02-03T20:02:46
ORD-000151,exp1_login_modal,variant_b,2024-04-02T11:28:01
ORD-000156,exp1_login_modal,variant_b,2024-01-13T18:06:05
ORD-000160,exp1_login_modal,control,2024-03-21T08:30:39
ORD-000169,exp1_login_modal,control,2024-04-21T11:29:59
ORD-000173,exp1_login_modal,variant_b,2024-01-02T04:27:18
ORD-000175,exp1_login_modal,control,2024-03-29T02:08:33
ORD-000176,exp1_login_modal,control,2024-04-25T18:36:15
ORD-000182,exp1_login_modal,variant_b,2024-02-26T04:55:17
ORD-000185,exp1_login_modal,variant_b,2024-06-27T20:55:41
ORD-000186,exp1_login_modal,variant_b,2024-02-26T05:14:19
ORD-000190,exp1_login_modal,control,2024-05-24T19:42:08
ORD-000192,exp1_login_modal,variant_b,2024-02-15T21:05:33
ORD-000196,exp1_login_modal,control,2024-01-30T07:30:44
ORD-000197,exp1_login_modal,variant_b,2024-01-11T21:46:51
ORD-000208,exp1_login_modal,control,2024-01-13T19:10:17
ORD-000209,exp1_login_modal,control,2024-06-18T13:46:41
ORD-000214,exp1_login_modal,variant_b,2024-01-04T12:57:37
ORD-000215,exp1_login_modal,control,2024-01-27T17:06:03
ORD-000219,exp1_login_modal,control,2024-05-20T00:57:22
ORD-000224,exp1_login_modal,variant_b,2024-04-12T10:08:26
ORD-000225,exp1_login_modal,control,2024-05-04T12:06:39
ORD-000226,exp1_login_modal,variant_b,2024-06-14T06:43:16
ORD-000228,exp1_login_modal,control,2024-06-20T18:40:24
ORD-000229,exp1_login_modal,variant_b,2024-03-13T19:13:10
ORD-000232,exp1_login_modal,control,2024-06-24T21:36:06
ORD-000237,exp1_login_modal,variant_b,2024-02-26T13:25:33
ORD-000243,exp1_login_modal,control,2024-01-09T14:37:09
ORD-000244,exp1_login_modal,control,2024-05-15T00:44:55
ORD-000249,exp1_login_modal,variant_b,2024-02-23T01:16:54
ORD-000252,exp1_login_modal,variant_b,2024-05-21T04:26:40
ORD-000253,exp1_login_modal,control,2024-03-03T08:57:13
ORD-000260,exp1_login_modal,variant_b,2024-01-07T18:10:29
ORD-000262,exp1_login_modal,variant_b,2024-03-13T05:42:28
ORD-000269,exp1_login_modal,variant_b,2024-05-09T16:21:32
ORD-000271,exp1_login_modal,control,2024-06-03T02:53:35
ORD-000272,exp1_login_modal,variant_b,2024-06-02T11:24:19
ORD-000280,exp1_login_modal,control,2024-01-30T17:06:13
ORD-000281,exp1_login_modal,control,2024-06-22T18:39:25
ORD-000291,exp1_login_modal,control,2024-04-04T00:46:25
ORD-000292,exp1_login_modal,variant_b,2024-03-18T10:09:14
ORD-000293,exp1_login_modal,variant_b,2024-01-24T18:59:36
ORD-000302,exp1_login_modal,variant_b,2024-03-12T01:23:30
ORD-000303,exp1_login_modal,control,2024-01-15T06:40:58
ORD-000306,exp1_login_modal,control,2024-05-26T14:23:33
ORD-000311,exp1_login_modal,variant_b,2024-02-28T05:07:31
ORD-000314,exp1_login_modal,control,2024-04-22T03:58:17
ORD-000317,exp1_login_modal,variant_b,2024-01-04T16:15:16
ORD-000319,exp1_login_modal,variant_b,2024-05-17T01:09:03
ORD-000320,exp1_login_modal,control,2024-03-14T04:07:50
ORD-000329,exp1_login_modal,control,2024-05-07T09:03:04
ORD-000332,exp1_login_modal,variant_b,2024-01-11T04:37:34
ORD-000336,exp1_login_modal,control,2024-03-03T08:44:59
ORD-000341,exp1_login_modal,control,2024-01-02T19:11:17
ORD-000343,exp1_login_modal,control,2024-06-14T06:13:33
ORD-000344,exp1_login_modal,control,2024-05-05T21:13:43
ORD-000346,exp1_login_modal,control,2024-06-09T14:03:06
ORD-000347,exp1_login_modal,variant_b,2024-04-02T17:05:50
ORD-000352,exp1_login_modal,variant_b,2024-02-12T21:13:55
ORD-000357,exp1_login_modal,control,2024-01-22T18:55:51
ORD-000358,exp1_login_modal,variant_b,2024-02-01T22:47:55
ORD-000363,exp1_login_modal,variant_b,2024-01-15T04:20:32
ORD-000364,exp1_login_modal,control,2024-04-01T16:00:40
