client_id,tier,industry,account_age_days,monthly_order_volume
CLT-001,Mid-Market,Payments,593,194
CLT-002,Mid-Market,Crypto,208,96
CLT-003,SMB,Lending,1064,13
CLT-004,Mid-Market,Crypto,889,309
CLT-005,SMB,Payments,356,64
CLT-006,SMB,Insurance,239,21
CLT-007,SMB,Insurance,571,15
CLT-008,SMB,Wealth,191,80
CLT-009,Mid-Market,Insurance,423,103
CLT-010,SMB,Insurance,193,39
CLT-011,SMB,Insurance,363,57
CLT-012,Mid-Market,Payments,380,205
CLT-013,SMB,Insurance,1170,38
CLT-014,Mid-Market,Lending,95,285
CLT-015,SMB,Crypto,674,37
CLT-016,Enterprise,Wealth,322,905
CLT-017,Mid-Market,Crypto,568,378
CLT-018,SMB,Lending,1073,73
CLT-019,SMB,Payments,343,30
CLT-020,SMB,Wealth,988,77
CLT-021,Enterprise,Payments,264,1974
CLT-022,Mid-Market,Payments,631,160
CLT-023,SMB,Insurance,1055,32
CLT-024,Enterprise,Insurance,1069,1165
CLT-025,Mid-Market,Crypto,1116,386
CLT-026,SMB,Payments,773,49
CLT-027,SMB,Crypto,191,20
CLT-028,Enterprise,Crypto,287,1525
CLT-029,SMB,Crypto,896,37
CLT-030,Mid-Market,Lending,668,271
CLT-031,Enterprise,Wealth,277,531
CLT-032,SMB,Crypto,1164,39
CLT-033,SMB,Payments,498,18
CLT-034,SMB,Lending,600,72
CLT-035,SMB,Crypto,998,41
CLT-036,SMB,Payments,912,55
CLT-037,SMB,Payments,231,17
CLT-038,SMB,Payments,539,34
CLT-039,SMB,Wealth,405,45
CLT-040,Enterprise,Payments,937,503
CLT-041,Mid-Market,Crypto,60,201
CLT-042,SMB,Wealth,467,61
CLT-043,SMB,Wealth,573,68
CLT-044,Mid-Market,Crypto,1026,177
CLT-045,SMB,Payments,1140,17
CLT-046,SMB,Wealth,1059,77
CLT-047,Enterprise,Payments,410,539
CLT-048,Mid-Market,Lending,856,371
CLT-049,Mid-Market,Payments,197,378
CLT-050,Mid-Market,Insurance,448,202
CLT-051,SMB,Insurance,966,50
CLT-052,SMB,Crypto,234,19
CLT-053,Mid-Market,Lending,744,205
CLT-054,SMB,Wealth,1142,48
CLT-055,Mid-Market,Crypto,643,148
CLT-056,SMB,Payments,1163,29
CLT-057,Mid-Market,Insurance,446,338
CLT-058,SMB,Payments,219,64
CLT-059,SMB,Lending,566,30
CLT-060,Mid-Market,Crypto,49,118
CLT-061,Enterprise,Crypto,103,1531
CLT-062,SMB,Lending,115,49
CLT-063,Enterprise,Lending,541,1997
CLT-064,Mid-Market,Wealth,346,163
CLT-065,Enterprise,Payments,397,1771
CLT-066,Enterprise,Lending,576,1183
CLT-067,Enterprise,Wealth,485,1116
CLT-068,SMB,Lending,486,13
CLT-069,SMB,Payments,601,54
CLT-070,Mid-Market,Crypto,708,139
CLT-071,SMB,Insurance,108,23
CLT-072,SMB,Insurance,923,75
CLT-073,Enterprise,Lending,551,403
CLT-074,Mid-Market,Crypto,433,300
CLT-075,Enterprise,Insurance,672,1438
CLT-076,SMB,Wealth,698,61
CLT-077,SMB,Wealth,806,32
CLT-078,SMB,Crypto,30,48
CLT-079,SMB,Crypto,689,69
CLT-080,Mid-Market,Crypto,999,123
