date,total_orders,workflow_entries,login_attempts,login_successes,completed_orders,daily_revenue,conversion_rate
2024-01-01,49,20,16,5,4,8411.32,0.0816
2024-01-02,61,29,22,5,4,12465.36,0.0656
2024-01-03,49,26,21,5,2,6246.58,0.0408
2024-01-04,56,28,15,2,0,0.0,0.0
2024-01-05,68,34,17,4,3,8161.56,0.0441
2024-01-06,59,29,13,0,0,0.0,0.0
2024-01-07,60,30,15,2,0,0.0,0.0
2024-01-08,44,19,10,1,0,0.0,0.0
2024-01-09,58,33,19,4,2,7342.88,0.0345
2024-01-10,52,32,25,7,3,11557.76,0.0577
2024-01-11,53,32,20,3,3,3604.73,0.0566
2024-01-12,48,24,17,4,4,8833.74,0.0833
2024-01-13,46,22,11,2,1,249.26,0.0217
2024-01-14,44,22,16,2,2,2408.9,0.0455
2024-01-15,34,19,8,4,3,7558.56,0.0882
2024-01-16,49,27,22,5,4,6940.35,0.0816
2024-01-17,52,28,17,4,3,6494.02,0.0577
2024-01-18,73,41,27,8,4,7522.84,0.0548
2024-01-19,69,34,20,6,4,13391.53,0.058
2024-01-20,59,31,18,5,2,5662.44,0.0339
2024-01-21,58,38,22,5,5,11871.26,0.0862
2024-01-22,53,29,18,4,4,11143.07,0.0755
2024-01-23,56,28,18,4,3,4900.77,0.0536
2024-01-24,55,36,27,15,11,34588.07,0.2
2024-01-25,57,30,17,5,4,7329.18,0.0702
2024-01-26,52,25,15,7,4,9198.64,0.0769
2024-01-27,61,28,20,3,2,1772.43,0.0328
2024-01-28,59,26,16,6,5,6927.74,0.0847
2024-01-29,42,18,10,3,1,3052.22,0.0238
2024-01-30,49,28,18,6,5,19582.69,0.102
2024-01-31,52,32,20,5,2,4988.56,0.0385
2024-02-01,46,23,15,4,3,8417.24,0.0652
2024-02-02,41,20,12,3,2,6836.62,0.0488
2024-02-03,56,26,15,3,2,6602.86,0.0357
2024-02-04,63,28,21,4,3,10376.84,0.0476
2024-02-05,51,29,17,3,3,5060.17,0.0588
2024-02-06,60,28,14,0,0,0.0,0.0
2024-02-07,41,22,9,1,1,2285.88,0.0244
2024-02-08,61,25,16,2,0,0.0,0.0
2024-02-09,45,26,15,4,2,4507.78,0.0444
2024-02-10,61,31,19,3,2,4952.12,0.0328
2024-02-11,63,31,19,4,4,8006.81,0.0635
2024-02-12,63,31,19,7,3,9661.16,0.0476
2024-02-13,42,16,15,3,2,6239.77,0.0476
2024-02-14,45,23,17,6,4,11565.62,0.0889
2024-02-15,55,30,21,5,4,10217.95,0.0727
2024-02-16,52,29,17,3,3,11320.96,0.0577
2024-02-17,50,26,15,1,0,0.0,0.0
2024-02-18,71,42,26,4,3,7570.41,0.0423
2024-02-19,46,20,10,3,2,6941.62,0.0435
2024-02-20,47,16,8,2,2,4826.44,0.0426
2024-02-21,40,15,9,3,3,8202.96,0.075
2024-02-22,55,25,15,3,2,6375.42,0.0364
2024-02-23,62,35,23,4,1,1923.65,0.0161
2024-02-24,54,29,18,6,5,15597.85,0.0926
2024-02-25,71,31,25,6,5,9577.52,0.0704
2024-02-26,63,34,14,3,2,6319.42,0.0317
2024-02-27,58,34,19,3,2,4949.62,0.0345
2024-02-28,48,24,19,3,2,5782.42,0.0417
2024-02-29,43,14,12,2,1,3211.93,0.0233
2024-03-01,59,27,18,2,1,1451.72,0.0169
2024-03-02,48,25,14,3,2,2980.71,0.0417
2024-03-03,69,38,25,7,7,18709.95,0.1014
2024-03-04,46,20,14,3,3,3373.34,0.0652
2024-03-05,56,31,14,2,1,1700.52,0.0179
2024-03-06,55,26,17,2,2,2119.14,0.0364
2024-03-07,59,30,23,3,3,9472.94,0.0508
2024-03-08,55,21,11,3,2,6411.37,0.0364
2024-03-09,47,19,16,3,2,3666.68,0.0426
2024-03-10,62,31,22,2,2,5043.65,0.0323
2024-03-11,48,20,14,1,1,2317.85,0.0208
2024-03-12,57,30,14,2,2,6411.17,0.0351
2024-03-13,57,34,22,3,3,5367.73,0.0526
2024-03-14,54,26,21,8,5,12372.13,0.0926
2024-03-15,62,33,19,5,3,11962.21,0.0484
2024-03-16,48,21,14,3,1,1592.72,0.0208
2024-03-17,53,35,16,5,4,12898.68,0.0755
2024-03-18,56,31,21,3,3,8222.91,0.0536
2024-03-19,49,21,15,2,2,5608.14,0.0408
2024-03-20,55,26,16,6,3,6161.74,0.0545
2024-03-21,58,35,24,5,2,3612.87,0.0345
2024-03-22,43,27,18,3,3,4295.98,0.0698
