order_id,client_id,created_at,status,entered_workflow,attempted_login,login_success,order_complete,order_value
ORD-000001,CLT-066,2024-05-08T21:46:59,initiated_only,0,0,0,0,
ORD-000002,CLT-031,2024-05-10T15:27:18,workflow_abandoned,1,0,0,0,
ORD-000003,CLT-006,2024-02-17T13:02:56,initiated_only,0,0,0,0,
ORD-000004,CLT-010,2024-03-29T10:23:35,completed,1,1,1,1,2573.01
ORD-000005,CLT-032,2024-01-29T15:43:56,initiated_only,0,0,0,0,
ORD-000006,CLT-014,2024-05-31T03:42:07,login_failed,1,1,0,0,
ORD-000007,CLT-007,2024-04-18T05:41:57,workflow_abandoned,1,0,0,0,
ORD-000008,CLT-060,2024-05-09T15:08:15,initiated_only,0,0,0,0,
ORD-000009,CLT-041,2024-05-26T15:43:12,initiated_only,0,0,0,0,
ORD-000010,CLT-065,2024-03-23T20:45:21,initiated_only,0,0,0,0,
ORD-000011,CLT-021,2024-05-24T09:41:07,initiated_only,0,0,0,0,
ORD-000012,CLT-032,2024-06-12T02:02:41,initiated_only,0,0,0,0,
ORD-000013,CLT-067,2024-04-04T02:23:08,initiated_only,0,0,0,0,
ORD-000014,CLT-010,2024-05-18T13:21:36,login_failed,1,1,0,0,
ORD-000015,CLT-018,2024-01-30T06:55:18,workflow_abandoned,1,0,0,0,
ORD-000016,CLT-009,2024-03-21T13:25:28,login_failed,1,1,0,0,
ORD-000017,CLT-054,2024-03-16T15:05:36,initiated_only,0,0,0,0,
ORD-000018,CLT-003,2024-06-15T08:39:38,initiated_only,0,0,0,0,
ORD-000019,CLT-062,2024-01-02T03:28:39,initiated_only,0,0,0,0,
ORD-000020,CLT-050,2024-06-14T17:21:20,initiated_only,0,0,0,0,
ORD-000021,CLT-069,2024-05-25T03:40:31,initiated_only,0,0,0,0,
ORD-000022,CLT-029,2024-04-04T19:18:51,completed,1,1,1,1,3459.88
ORD-000023,CLT-052,2024-05-20T14:55:47,completed,1,1,1,1,329.44
ORD-000024,CLT-051,2024-04-24T22:25:12,initiated_only,0,0,0,0,
ORD-000025,CLT-055,2024-01-27T08:24:19,initiated_only,0,0,0,0,
ORD-000026,CLT-034,2024-03-14T14:45:07,login_failed,1,1,0,0,
ORD-000027,CLT-036,2024-05-26T00:37:11,initiated_only,0,0,0,0,
ORD-000028,CLT-011,2024-04-01T07:47:19,login_failed,1,1,0,0,
ORD-000029,CLT-009,2024-05-31T16:48:35,initiated_only,0,0,0,0,
ORD-000030,CLT-004,2024-02-18T00:25:25,completed,1,1,1,1,3413.4
ORD-000031,CLT-073,2024-02-12T07:47:18,login_failed,1,1,0,0,
ORD-000032,CLT-015,2024-05-31T00:46:22,initiated_only,0,0,0,0,
ORD-000033,CLT-014,2024-04-22T08:51:58,login_failed,1,1,0,0,
ORD-000034,CLT-051,2024-05-18T20:12:36,login_failed,1,1,0,0,
ORD-000035,CLT-039,2024-06-14T02:39:13,initiated_only,0,0,0,0,
ORD-000036,CLT-073,2024-05-31T23:20:42,login_failed,1,1,0,0,
ORD-000037,CLT-044,2024-01-03T10:57:47,initiated_only,0,0,0,0,
ORD-000038,CLT-014,2024-03-25T04:21:55,initiated_only,0,0,0,0,
ORD-000039,CLT-059,2024-05-17T08:17:49,login_failed,1,1,0,0,
ORD-000040,CLT-079,2024-06-05T22:28:52,initiated_only,0,0,0,0,
ORD-000041,CLT-060,2024-03-25T13:55:27,initiated_only,0,0,0,0,
ORD-000042,CLT-042,2024-06-14T09:16:15,workflow_abandoned,1,0,0,0,
ORD-000043,CLT-058,2024-02-17T08:29:09,initiated_only,0,0,0,0,
ORD-000044,CLT-049,2024-03-06T07:43:18,workflow_abandoned,1,0,0,0,
ORD-000045,CLT-028,2024-03-09T21:36:15,initiated_only,0,0,0,0,
ORD-000046,CLT-077,2024-05-16T03:45:11,initiated_only,0,0,0,0,
ORD-000047,CLT-067,2024-02-07T02:23:14,workflow_abandoned,1,0,0,0,
ORD-000048,CLT-031,2024-05-14T02:28:22,workflow_abandoned,1,0,0,0,
ORD-000049,CLT-003,2024-01-19T01:39:36,login_failed,1,1,0,0,
ORD-000050,CLT-048,2024-04-01T21:33:13,initiated_only,0,0,0,0,
ORD-000051,CLT-071,2024-03-05T05:35:57,login_failed,1,1,0,0,
ORD-000052,CLT-025,2024-03-02T06:33:36,login_failed,1,1,0,0,
ORD-000053,CLT-028,2024-05-23T10:08:49,workflow_abandoned,1,0,0,0,
ORD-000054,CLT-068,2024-04-25T21:14:47,completed,1,1,1,1,1061.32
ORD-000055,CLT-002,2024-05-17T11:36:19,initiated_only,0,0,0,0,
ORD-000056,CLT-007,2024-04-17T10:50:22,workflow_abandoned,1,0,0,0,
ORD-000057,CLT-063,2024-01-20T22:05:35,initiated_only,0,0,0,0,
ORD-000058,CLT-061,2024-04-02T22:58:11,login_success_incomplete,1,1,1,0,
ORD-000059,CLT-009,2024-03-18T19:25:55,login_failed,1,1,0,0,
ORD-000060,CLT-073,2024-02-28T23:58:34,login_failed,1,1,0,0,
ORD-000061,CLT-077,2024-06-02T13:07:09,initiated_only,0,0,0,0,
ORD-000062,CLT-049,2024-03-28T11:32:58,initiated_only,0,0,0,0,
ORD-000063,CLT-076,2024-03-24T06:29:30,login_failed,1,1,0,0,
ORD-000064,CLT-027,2024-05-01T11:06:40,workflow_abandoned,1,0,0,0,
ORD-000065,CLT-023,2024-04-17T04:28:13,login_failed,1,1,0,0,
ORD-000066,CLT-038,2024-01-07T08:06:45,workflow_abandoned,1,0,0,0,
ORD-000067,CLT-059,2024-01-14T19:43:18,initiated_only,0,0,0,0,
ORD-000068,CLT-076,2024-05-08T09:20:10,initiated_only,0,0,0,0,
ORD-000069,CLT-015,2024-04-15T17:50:40,login_failed,1,1,0,0,
ORD-000070,CLT-008,2024-02-02T05:15:22,initiated_only,0,0,0,0,
ORD-000071,CLT-073,2024-06-27T21:04:06,login_failed,1,1,0,0,
ORD-000072,CLT-035,2024-04-07T04:22:09,initiated_only,0,0,0,0,
ORD-000073,CLT-077,2024-01-08T17:45:52,initiated_only,0,0,0,0,
